"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1995",1536.271,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1996",1642.047,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1997",1726.862,
"AUS","HEALTHEXP","TOT","USD_CAP","A","1998",1838.553,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","1999",1956.897,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2000",2153.657,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2001",2289.436,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2002",2481.046,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2003",2577.015,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2004",2816.897,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2005",2872.44,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2006",2994.996,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2007",3197.64,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2008",3350.144,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2009",3421.858,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3595.357,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3809.112,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3854.19,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4091.385,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4190.681,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4381.229,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4565.873,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4790.513,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",5005.316,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1995",2083.931,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1996",2158.958,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1997",2263.036,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1998",2427.098,
"AUT","HEALTHEXP","TOT","USD_CAP","A","1999",2569.344,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2000",2802.259,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2001",2857.775,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2002",3101.021,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2003",3198.034,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2004",3411.471,"B"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2005",3475.868,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2006",3631.747,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2007",3794.318,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2008",4009.307,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2009",4100.199,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2010",4257.215,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2011",4345.158,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2012",4588.344,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2013",4767.083,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2014",4858.587,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2015",4944.771,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2016",5139.924,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2017",5270.235,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2018",5395.106,"P"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1995",1668.985,"B"
"BEL","HEALTHEXP","TOT","USD_CAP","A","1996",1766.814,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1997",1813.119,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1998",1880.839,
"BEL","HEALTHEXP","TOT","USD_CAP","A","1999",2011.684,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2000",2296.835,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2001",2403.121,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2002",2644.145,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2003",2899.014,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2004",3038.701,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2005",3045.334,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2006",3130.953,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2007",3248.904,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2008",3472.416,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2009",3677.588,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2010",3840.327,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2011",3998.296,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2012",4160.898,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2013",4349.432,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2014",4477.796,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2015",4526.597,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2016",4666.226,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2017",4832.265,
"BEL","HEALTHEXP","TOT","USD_CAP","A","2018",4943.537,"E"
"CAN","HEALTHEXP","TOT","USD_CAP","A","1995",1984.313,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1996",1999.185,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1997",2091.516,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1998",2199.798,
"CAN","HEALTHEXP","TOT","USD_CAP","A","1999",2278.254,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2000",2451.054,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2001",2622.87,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2002",2758.211,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2003",2913.291,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2004",3121.349,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2005",3292.054,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2006",3497.477,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2007",3717.581,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2008",3862.203,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2009",3964.489,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2010",4166.696,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2011",4226.516,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2012",4285.693,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2013",4365.618,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2014",4463.64,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2015",4550.831,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",4698.016,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",4811.79,"P"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",4974.33,"P"
"CZE","HEALTHEXP","TOT","USD_CAP","A","1995",811.849,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","1996",861.559,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1997",871.358,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1998",889.615,
"CZE","HEALTHEXP","TOT","USD_CAP","A","1999",951.854,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2000",1025.421,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2001",1159.721,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2002",1267.68,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2003",1393.838,"B"
"CZE","HEALTHEXP","TOT","USD_CAP","A","2004",1464.272,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2005",1523.395,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2006",1558.812,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2007",1659.91,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2008",1822.937,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2009",2053.78,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2010",2001.123,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2011",2041.899,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2012",2090.485,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2013",2448.529,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2014",2564.609,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2015",2545.511,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2016",2627.698,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2017",2850.406,
"CZE","HEALTHEXP","TOT","USD_CAP","A","2018",3057.615,"E"
"DNK","HEALTHEXP","TOT","USD_CAP","A","1995",1713.22,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1996",1812.689,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1997",1889.861,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1998",1913.351,
"DNK","HEALTHEXP","TOT","USD_CAP","A","1999",2181.669,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2000",2344.337,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2001",2471.193,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2002",2711.668,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2003",2723.136,"B"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2004",2921.07,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2005",3014.982,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2006",3286.325,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2007",3561.843,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2008",3777.707,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2009",4025.963,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2010",4160.049,"B"
"DNK","HEALTHEXP","TOT","USD_CAP","A","2011",4169.775,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2012",4315.127,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2013",4455.751,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2014",4536.239,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2015",4674.496,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2016",4774.269,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2017",5024.522,
"DNK","HEALTHEXP","TOT","USD_CAP","A","2018",5298.821,"E"
"FIN","HEALTHEXP","TOT","USD_CAP","A","1995",1344.759,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1996",1417.136,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1997",1473.861,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1998",1523.296,
"FIN","HEALTHEXP","TOT","USD_CAP","A","1999",1609.61,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2000",1807.323,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2001",1908.357,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2002",2122.707,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2003",2197.509,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2004",2394.239,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2005",2480.768,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2006",2654.806,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2007",2902.539,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2008",3134.105,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2009",3172.93,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2010",3308.215,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2011",3474.837,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2012",3651.171,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2013",3794.525,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2014",3812.836,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2015",3990.642,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2016",4023.443,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2017",4126.719,
"FIN","HEALTHEXP","TOT","USD_CAP","A","2018",4228.211,"P"
"FRA","HEALTHEXP","TOT","USD_CAP","A","1995",2098.703,"B"
"FRA","HEALTHEXP","TOT","USD_CAP","A","1996",2167.883,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1997",2234.441,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1998",2320.92,
"FRA","HEALTHEXP","TOT","USD_CAP","A","1999",2431.303,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2000",2685.952,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2001",2873.986,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2002",3152.016,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2003",3056.294,"B"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2004",3171.408,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2005",3264.574,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2006",3445.781,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2007",3593.566,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2008",3733.89,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2009",3894.952,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2010",4048.235,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2011",4168.429,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2012",4306.314,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2013",4557.343,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2014",4641.508,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2015",4675.804,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4844.017,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2017",4930.776,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2018",4964.71,"E"
"DEU","HEALTHEXP","TOT","USD_CAP","A","1995",2344.445,
"DEU","HEALTHEXP","TOT","USD_CAP","A","1996",2476.023,
"DEU","HEALTHEXP","TOT","USD_CAP","A","1997",2490.868,
"DEU","HEALTHEXP","TOT","USD_CAP","A","1998",2561.472,
"DEU","HEALTHEXP","TOT","USD_CAP","A","1999",2693.965,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2000",2889.03,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2001",3003.452,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2002",3234.863,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2003",3321.504,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2004",3382.115,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2005",3420.725,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2006",3553.953,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2007",3739.94,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2008",3942.379,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2009",4156.628,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2010",4411.936,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2011",4558.247,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2012",4734.286,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2013",4947.77,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2014",5142.385,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2015",5291.281,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2016",5550.175,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2017",5847.676,
"DEU","HEALTHEXP","TOT","USD_CAP","A","2018",5986.43,"P"
"GRC","HEALTHEXP","TOT","USD_CAP","A","1995",1190.171,
"GRC","HEALTHEXP","TOT","USD_CAP","A","1996",1233.149,
"GRC","HEALTHEXP","TOT","USD_CAP","A","1997",1287.856,
"GRC","HEALTHEXP","TOT","USD_CAP","A","1998",1327.974,
"GRC","HEALTHEXP","TOT","USD_CAP","A","1999",1390.316,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2000",1417.584,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2001",1700.156,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2002",1951.129,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2003",1987.828,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2004",2059.141,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2005",2304.217,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2006",2497.936,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2007",2615.834,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2008",2833.262,"E"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2009",2760.222,"B"
"GRC","HEALTHEXP","TOT","USD_CAP","A","2010",2617.679,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2011",2307.347,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2012",2167.653,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2013",2091.001,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2014",2042.262,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2015",2100.338,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2016",2198.044,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2017",2207.064,
"GRC","HEALTHEXP","TOT","USD_CAP","A","2018",2238.171,"E"
"HUN","HEALTHEXP","TOT","USD_CAP","A","1995",688.424,
"HUN","HEALTHEXP","TOT","USD_CAP","A","1996",694.154,
"HUN","HEALTHEXP","TOT","USD_CAP","A","1997",698.693,
"HUN","HEALTHEXP","TOT","USD_CAP","A","1998",768.503,"B"
"HUN","HEALTHEXP","TOT","USD_CAP","A","1999",823.236,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2000",906.357,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2001",995.579,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2002",1167.234,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2003",1364.876,"B"
"HUN","HEALTHEXP","TOT","USD_CAP","A","2004",1381.682,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2005",1463.525,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2006",1510.113,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2007",1429.546,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2008",1492.593,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2009",1496.238,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2010",1665.516,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2011",1755.527,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2012",1766.535,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2013",1821.58,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2014",1863.754,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2015",1891.727,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2016",1965.018,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2017",1996.449,
"HUN","HEALTHEXP","TOT","USD_CAP","A","2018",2046.777,"P"
"ISL","HEALTHEXP","TOT","USD_CAP","A","1995",1808.776,
"ISL","HEALTHEXP","TOT","USD_CAP","A","1996",1885.169,
"ISL","HEALTHEXP","TOT","USD_CAP","A","1997",2017.173,
"ISL","HEALTHEXP","TOT","USD_CAP","A","1998",2333.388,
"ISL","HEALTHEXP","TOT","USD_CAP","A","1999",2575.561,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2000",2666.345,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2001",2760.123,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2002",3077.186,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2003",3182.005,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2004",3312.748,"D"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2005",3346.131,"D"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2006",3449.169,"D"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2007",3653.805,"D"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2008",3682.94,"D"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2009",3528.951,"D"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2010",3313.144,"D"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2011",3318.185,"B"
"ISL","HEALTHEXP","TOT","USD_CAP","A","2012",3398.479,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2013",3497.722,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2014",3599.475,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2015",3735.245,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2016",3916.333,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2017",4153.873,
"ISL","HEALTHEXP","TOT","USD_CAP","A","2018",4349.094,"E"
"IRL","HEALTHEXP","TOT","USD_CAP","A","1995",1129.311,
"IRL","HEALTHEXP","TOT","USD_CAP","A","1996",1184.864,
"IRL","HEALTHEXP","TOT","USD_CAP","A","1997",1287.25,
"IRL","HEALTHEXP","TOT","USD_CAP","A","1998",1394.997,
"IRL","HEALTHEXP","TOT","USD_CAP","A","1999",1498.298,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2000",1828.715,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2001",2133.39,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2002",2418.861,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2003",2578.828,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2004",2805.237,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2005",3093.376,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2006",3202.393,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2007",3383.04,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2008",3643.273,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2009",3864.534,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2010",4049.297,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2011",4206.865,"B"
"IRL","HEALTHEXP","TOT","USD_CAP","A","2012",4373.285,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2013",4302.337,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2014",4251.482,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2015",4301.85,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2016",4470.748,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2017",4631.116,
"IRL","HEALTHEXP","TOT","USD_CAP","A","2018",4915.493,"E"
"ITA","HEALTHEXP","TOT","USD_CAP","A","1995",1463.277,"B"
"ITA","HEALTHEXP","TOT","USD_CAP","A","1996",1527.799,
"ITA","HEALTHEXP","TOT","USD_CAP","A","1997",1650.202,
"ITA","HEALTHEXP","TOT","USD_CAP","A","1998",1735.876,
"ITA","HEALTHEXP","TOT","USD_CAP","A","1999",1802.03,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2000",2029.341,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2001",2150.75,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2002",2292.714,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2003",2289.37,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2004",2451.404,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2005",2504.099,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2006",2660.154,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2007",2694.693,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2008",2932.455,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2009",2944.668,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2010",3103.169,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2011",3098.256,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2012",3110.555,"B"
"ITA","HEALTHEXP","TOT","USD_CAP","A","2013",3088.556,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2014",3075.431,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2015",3129.27,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2016",3264.368,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2017",3376.315,
"ITA","HEALTHEXP","TOT","USD_CAP","A","2018",3427.807,"P"
"JPN","HEALTHEXP","TOT","USD_CAP","A","1995",1408.389,
"JPN","HEALTHEXP","TOT","USD_CAP","A","1996",1432.447,
"JPN","HEALTHEXP","TOT","USD_CAP","A","1997",1526.474,
"JPN","HEALTHEXP","TOT","USD_CAP","A","1998",1569.295,
"JPN","HEALTHEXP","TOT","USD_CAP","A","1999",1667.922,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2000",1850.833,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2001",1942.812,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2002",2065.133,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2003",2196.742,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2004",2306.004,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2005",2471.186,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2006",2559.458,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2007",2688.702,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2008",2799.198,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2009",2974.458,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2010",3169.521,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2011",3740.756,"B"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2012",3970.765,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2013",4308.252,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2014",4328.364,
"JPN","HEALTHEXP","TOT","USD_CAP","A","2015",4516.862,
